task,seed,subset,metric,value,n_test
CHEMBL234_Ki,42,overall,mae,0.523427582425131,733
CHEMBL234_Ki,42,overall,r2,0.6158712866821755,733
CHEMBL234_Ki,42,overall,spearman,0.7855806798320332,733
CHEMBL234_Ki,42,overall,pearson,0.7898793231458164,733
CHEMBL234_Ki,42,cliff,rmse,0.6904497435745157,320
CHEMBL234_Ki,42,noncliff,rmse,0.7138396960679765,413
CHEMBL234_Ki,117,overall,rmse,0.688890911578193,733
CHEMBL234_Ki,117,overall,mae,0.508966500859321,733
CHEMBL234_Ki,117,overall,r2,0.6318941053618263,733
CHEMBL234_Ki,117,overall,spearman,0.7920652400648374,733
CHEMBL234_Ki,117,overall,pearson,0.7984205409166182,733
CHEMBL234_Ki,117,cliff,rmse,0.679779746073649,320
CHEMBL234_Ki,117,noncliff,rmse,0.6958683904144523,413
CHEMBL234_Ki,709,overall,rmse,0.708185586033002,733
CHEMBL234_Ki,709,overall,mae,0.5258610654353877,733
CHEMBL234_Ki,709,overall,r2,0.6109852863275312,733
CHEMBL234_Ki,709,overall,spearman,0.7829832481102149,733
CHEMBL234_Ki,709,overall,pearson,0.7879418972998715,733
CHEMBL234_Ki,709,cliff,rmse,0.7087913995909025,320
CHEMBL234_Ki,709,noncliff,rmse,0.707715833971833,413
CHEMBL235_EC50,42,overall,rmse,0.697953904352325,472
CHEMBL235_EC50,42,overall,mae,0.534154178856606,472
CHEMBL235_EC50,42,overall,r2,0.5797418761114504,472
CHEMBL235_EC50,42,overall,spearman,0.7549681049363458,472
CHEMBL235_EC50,42,overall,pearson,0.7647450358919808,472
CHEMBL235_EC50,42,cliff,rmse,0.8215909698707928,178
CHEMBL235_EC50,42,noncliff,rmse,0.6110597172679593,294
CHEMBL235_EC50,117,overall,rmse,0.6985120734117002,472
CHEMBL235_EC50,117,overall,mae,0.5345325357858697,472
CHEMBL235_EC50,117,overall,r2,0.5790694280381221,472
CHEMBL235_EC50,117,overall,spearman,0.7535508635483781,472
CHEMBL235_EC50,117,overall,pearson,0.7647065872967747,472
CHEMBL235_EC50,117,cliff,rmse,0.8320337723922983,178
CHEMBL235_EC50,117,noncliff,rmse,0.6034818129240836,294
CHEMBL235_EC50,709,overall,rmse,0.7134869120477979,472
CHEMBL235_EC50,709,overall,mae,0.5400794950248367,472
CHEMBL235_EC50,709,overall,r2,0.5608279858441225,472
CHEMBL235_EC50,709,overall,spearman,0.7448639121887781,472
CHEMBL235_EC50,709,overall,pearson,0.7536505466268056,472
CHEMBL235_EC50,709,cliff,rmse,0.8371267864234335,178
CHEMBL235_EC50,709,noncliff,rmse,0.6268888277785168,294
CHEMBL236_Ki,42,overall,rmse,0.8218244065495558,521
CHEMBL236_Ki,42,overall,mae,0.6174828818747818,521
CHEMBL236_Ki,42,overall,r2,0.6236586363933063,521
CHEMBL236_Ki,42,overall,spearman,0.7910001849805939,521
CHEMBL236_Ki,42,overall,pearson,0.790606021584811,521
CHEMBL236_Ki,42,cliff,rmse,0.8721345337117614,204
CHEMBL236_Ki,42,noncliff,rmse,0.7877508142999397,317
CHEMBL236_Ki,117,overall,rmse,0.8077098889033933,521
CHEMBL236_Ki,117,overall,mae,0.605273918644615,521
CHEMBL236_Ki,117,overall,r2,0.6364746638961056,521
CHEMBL236_Ki,117,overall,spearman,0.7954364099509377,521
CHEMBL236_Ki,117,overall,pearson,0.7983633552966649,521
CHEMBL236_Ki,117,cliff,rmse,0.8594935161367755,204
CHEMBL236_Ki,117,noncliff,rmse,0.7725519912472502,317
CHEMBL236_Ki,709,overall,rmse,0.8067462077746073,521
CHEMBL236_Ki,709,overall,mae,0.5977634576930265,521
CHEMBL236_Ki,709,overall,r2,0.6373415927913049,521
CHEMBL236_Ki,709,overall,spearman,0.7987574055877715,521
CHEMBL236_Ki,709,overall,pearson,0.7993155498206748,521
CHEMBL236_Ki,709,cliff,rmse,0.8619295122432785,204
CHEMBL236_Ki,709,noncliff,rmse,0.7691430018178776,317
CHEMBL237_EC50,42,overall,rmse,0.7966485743124986,193
CHEMBL237_EC50,42,overall,mae,0.6270531460841667,193
CHEMBL237_EC50,42,overall,r2,0.6960729025564585,193
CHEMBL237_EC50,42,overall,spearman,0.8291474146680199,193
CHEMBL237_EC50,42,overall,pearson,0.8361995403730236,193
CHEMBL237_EC50,42,cliff,rmse,0.8772792313109166,91
CHEMBL237_EC50,42,noncliff,rmse,0.7171015475742579,102
CHEMBL237_EC50,117,overall,rmse,0.8074022944889122,193
CHEMBL237_EC50,117,overall,mae,0.6304647722681752,193
CHEMBL237_EC50,117,overall,r2,0.6878122810384517,193
CHEMBL237_EC50,117,overall,spearman,0.8282593744992255,193
CHEMBL237_EC50,117,overall,pearson,0.831925549763881,193
CHEMBL237_EC50,117,cliff,rmse,0.8913883396489694,91
CHEMBL237_EC50,117,noncliff,rmse,0.7242998317206343,102
CHEMBL237_EC50,709,overall,rmse,0.8252423325142362,193
CHEMBL237_EC50,709,overall,mae,0.6468190810559239,193
CHEMBL237_EC50,709,overall,r2,0.6738639163058293,193
CHEMBL237_EC50,709,overall,spearman,0.8147267774157362,193
CHEMBL237_EC50,709,overall,pearson,0.8224286295674328,193
CHEMBL237_EC50,709,cliff,rmse,0.8799787371840173,91
CHEMBL237_EC50,709,noncliff,rmse,0.7731449178933409,102
CHEMBL237_Ki,42,overall,rmse,0.7641866387107735,522
CHEMBL237_Ki,42,overall,mae,0.584010849225125,522
CHEMBL237_Ki,42,overall,r2,0.6773423508605457,522
CHEMBL237_Ki,42,overall,spearman,0.8178927623492783,522
CHEMBL237_Ki,42,overall,pearson,0.8232462992735035,522
CHEMBL237_Ki,42,cliff,rmse,0.7849719444349204,223
CHEMBL237_Ki,42,noncliff,rmse,0.7483087811762237,299
CHEMBL237_Ki,117,overall,rmse,0.7814060709180238,522
CHEMBL237_Ki,117,overall,mae,0.5987342276399865,522
CHEMBL237_Ki,117,overall,r2,0.6626376236381861,522
CHEMBL237_Ki,117,overall,spearman,0.8116424515105256,522
CHEMBL237_Ki,117,overall,pearson,0.8141867325441013,522
CHEMBL237_Ki,117,cliff,rmse,0.8137371445746182,223
CHEMBL237_Ki,117,noncliff,rmse,0.7563937684670875,299
CHEMBL237_Ki,709,overall,rmse,0.7579415713367438,522
CHEMBL237_Ki,709,overall,mae,0.5818760070587202,522
CHEMBL237_Ki,709,overall,r2,0.6825944322564808,522
CHEMBL237_Ki,709,overall,spearman,0.8182278670891248,522
CHEMBL237_Ki,709,overall,pearson,0.8264958573108496,522
CHEMBL237_Ki,709,cliff,rmse,0.7890801334973001,223
CHEMBL237_Ki,709,noncliff,rmse,0.7338581538773494,299
CHEMBL238_Ki,42,overall,rmse,0.7321887588803833,213
CHEMBL238_Ki,42,overall,mae,0.5557445818109413,213
CHEMBL238_Ki,42,overall,r2,0.6047314808959416,213
CHEMBL238_Ki,42,overall,spearman,0.8041468702889174,213
CHEMBL238_Ki,42,overall,pearson,0.7787806058712404,213
CHEMBL238_Ki,42,cliff,rmse,0.7883298052155064,55
CHEMBL238_Ki,42,noncliff,rmse,0.7116075007513767,158
CHEMBL238_Ki,117,overall,rmse,0.7423870074130332,213
CHEMBL238_Ki,117,overall,mae,0.5590082935113997,213
CHEMBL238_Ki,117,overall,r2,0.593643849066801,213
CHEMBL238_Ki,117,overall,spearman,0.8031385278697399,213
CHEMBL238_Ki,117,overall,pearson,0.7725732486033811,213
CHEMBL238_Ki,117,cliff,rmse,0.7681406746903758,55
CHEMBL238_Ki,117,noncliff,rmse,0.7332099038179433,158
CHEMBL238_Ki,709,overall,rmse,0.7349051347544396,213
CHEMBL238_Ki,709,overall,mae,0.5630030371970793,213
CHEMBL238_Ki,709,overall,r2,0.6017931961080409,213
CHEMBL238_Ki,709,overall,spearman,0.8034154494947111,213
CHEMBL238_Ki,709,overall,pearson,0.7771685284193326,213
CHEMBL238_Ki,709,cliff,rmse,0.7681379044143606,55
CHEMBL238_Ki,709,noncliff,rmse,0.7229784231287731,158
CHEMBL239_EC50,42,overall,rmse,0.7527684033689622,347
CHEMBL239_EC50,42,overall,mae,0.5653286769521312,347
CHEMBL239_EC50,42,overall,r2,0.5291606772184254,347
CHEMBL239_EC50,42,overall,spearman,0.7334988991320003,347
CHEMBL239_EC50,42,overall,pearson,0.7338858404042328,347
CHEMBL239_EC50,42,cliff,rmse,0.8684454775806616,141
CHEMBL239_EC50,42,noncliff,rmse,0.662040311958701,206
CHEMBL239_EC50,117,overall,rmse,0.7638210126011928,347
CHEMBL239_EC50,117,overall,mae,0.5718353286923249,347
CHEMBL239_EC50,117,overall,r2,0.515232868317276,347
CHEMBL239_EC50,117,overall,spearman,0.7276384212984212,347
CHEMBL239_EC50,117,overall,pearson,0.7271315507924772,347
CHEMBL239_EC50,117,cliff,rmse,0.8934229812206956,141
CHEMBL239_EC50,117,noncliff,rmse,0.6606144875471649,206
CHEMBL239_EC50,709,overall,rmse,0.754174235881267,347
CHEMBL239_EC50,709,overall,mae,0.5642280285255616,347
CHEMBL239_EC50,709,overall,r2,0.5274004032470023,347
CHEMBL239_EC50,709,overall,spearman,0.7379945648771123,347
CHEMBL239_EC50,709,overall,pearson,0.7342696904969497,347
CHEMBL239_EC50,709,cliff,rmse,0.8593960255255724,141
CHEMBL239_EC50,709,noncliff,rmse,0.6727319336727396,206
CHEMBL244_Ki,42,overall,rmse,0.8476007242815453,621
CHEMBL244_Ki,42,overall,mae,0.6425948313234081,621
CHEMBL244_Ki,42,overall,r2,0.7243011624944389,621
CHEMBL244_Ki,42,overall,spearman,0.8568004401491817,621
CHEMBL244_Ki,42,overall,pearson,0.8514572705466742,621
CHEMBL244_Ki,42,cliff,rmse,0.8708043864292623,296
CHEMBL244_Ki,42,noncliff,rmse,0.8259004907759389,325
CHEMBL244_Ki,117,overall,rmse,0.8348335578289997,621
CHEMBL244_Ki,117,overall,mae,0.6279734985208711,621
CHEMBL244_Ki,117,overall,r2,0.73254415540485,621
CHEMBL244_Ki,117,overall,spearman,0.8609107039330317,621
CHEMBL244_Ki,117,overall,pearson,0.8564059121314797,621
CHEMBL244_Ki,117,cliff,rmse,0.8474696641017134,296
CHEMBL244_Ki,117,noncliff,rmse,0.8231562144963191,325
CHEMBL244_Ki,709,overall,rmse,0.8433900387669968,621
CHEMBL244_Ki,709,overall,mae,0.6383565911187785,621
CHEMBL244_Ki,709,overall,r2,0.7270335754645794,621
CHEMBL244_Ki,709,overall,spearman,0.8598383413831929,621
CHEMBL244_Ki,709,overall,pearson,0.8538376857222016,621
CHEMBL244_Ki,709,cliff,rmse,0.8501317485724095,296
CHEMBL244_Ki,709,noncliff,rmse,0.837202659745574,325
CHEMBL262_Ki,42,overall,rmse,0.8649505323948715,173
CHEMBL262_Ki,42,overall,mae,0.6896899691278249,173
CHEMBL262_Ki,42,overall,r2,0.37793099027857846,173
CHEMBL262_Ki,42,overall,spearman,0.6096388557972661,173
CHEMBL262_Ki,42,overall,pearson,0.6469675276922275,173
CHEMBL262_Ki,42,cliff,rmse,0.9123514672944096,32
CHEMBL262_Ki,42,noncliff,rmse,0.8538265717728709,141
CHEMBL262_Ki,117,overall,rmse,0.8172433341355985,173
CHEMBL262_Ki,117,overall,mae,0.6449352690424947,173
CHEMBL262_Ki,117,overall,r2,0.4446602001987626,173
CHEMBL262_Ki,117,overall,spearman,0.6550750703422319,173
