embedding,mode,klass,pair_id,cosine,tanimoto,identical,bg_median,separation
Morgan r3-counts,add_methyl,A,add_methyl_772,0.05233311653137207,0.24817520380020142,False,0.3686607778072357,0.14195466041564941
Morgan r3-counts,add_methyl,A,add_methyl_773,0.061073899269104004,0.25563907623291016,False,0.39292100071907043,0.15543556213378906
Morgan r3-counts,add_methyl,A,add_methyl_774,0.06739544868469238,0.2820512652397156,False,0.3766225278377533,0.17894694209098816
Morgan r3-counts,add_methyl,A,add_methyl_775,0.13036763668060303,0.38297873735427856,False,0.43923524022102356,0.2968059480190277
Morgan r3-counts,add_methyl,A,add_methyl_776,0.04824334383010864,0.31884056329727173,False,0.4190996289253235,0.11511187255382538
Morgan r3-counts,add_methyl,A,add_methyl_777,0.059771955013275146,0.2888888716697693,False,0.3638432025909424,0.16427943110466003
Morgan r3-counts,add_methyl,A,add_methyl_778,0.05535238981246948,0.27350425720214844,False,0.4593038260936737,0.1205136701464653
Morgan r3-counts,add_methyl,A,add_methyl_779,0.05946004390716553,0.2639999985694885,False,0.3749491274356842,0.15858162939548492
Morgan r3-counts,add_methyl,A,add_methyl_780,0.07455688714981079,0.25342464447021484,False,0.5011025667190552,0.14878568053245544
Morgan r3-counts,add_methyl,A,add_methyl_781,0.03842216730117798,0.20987653732299805,False,0.4143999218940735,0.09271760284900665
Morgan r3-counts,add_methyl,A,add_methyl_782,0.061126708984375,0.25196850299835205,False,0.37465032935142517,0.1631566882133484
Morgan r3-counts,add_methyl,A,add_methyl_783,0.08545422554016113,0.25563907623291016,False,0.48060914874076843,0.17780399322509766
Morgan r3-counts,add_methyl,A,add_methyl_784,0.08295714855194092,0.31168830394744873,False,0.5205214023590088,0.1593731790781021
Morgan r3-counts,add_methyl,A,add_methyl_785,0.040092408657073975,0.18817204236984253,False,0.4302735924720764,0.0931788757443428
Morgan r3-counts,add_methyl,A,add_methyl_786,0.12556558847427368,0.3965517282485962,False,0.4331681430339813,0.2898772358894348
Morgan r3-counts,add_methyl,A,add_methyl_787,0.05963784456253052,0.23846155405044556,False,0.48443642258644104,0.1231076791882515
Morgan r3-counts,add_methyl,A,add_methyl_788,0.06042122840881348,0.24637681245803833,False,0.3769083321094513,0.16030748188495636
Morgan r3-counts,add_methyl,A,add_methyl_789,0.2569570541381836,0.5384615659713745,False,0.5252832174301147,0.4891781210899353
Morgan r3-counts,add_methyl,A,add_methyl_790,0.07979941368103027,0.2706766724586487,False,0.3970627188682556,0.20097433030605316
Morgan r3-counts,add_methyl,A,add_methyl_791,0.10782808065414429,0.3679245114326477,False,0.4175861179828644,0.25821760296821594
Morgan r3-counts,add_methyl,A,add_methyl_792,0.14668971300125122,0.37383174896240234,False,0.5338194966316223,0.27479273080825806
Morgan r3-counts,add_methyl,A,add_methyl_793,0.09329944849014282,0.39603960514068604,False,0.4416620135307312,0.21124626696109772
Morgan r3-counts,add_methyl,A,add_methyl_794,0.07661956548690796,0.28828829526901245,False,0.41118383407592773,0.18633896112442017
Morgan r3-counts,add_methyl,A,add_methyl_795,0.1168631911277771,0.32380950450897217,False,0.5738785266876221,0.2036375105381012
Morgan r3-counts,add_methyl,A,add_methyl_796,0.008914053440093994,0.09734511375427246,False,0.5106207132339478,0.01745728962123394
Morgan r3-counts,add_methyl,A,add_methyl_797,0.03452348709106445,0.22758620977401733,False,0.3686733841896057,0.0936424732208252
Morgan r3-counts,add_methyl,A,add_methyl_798,0.07533979415893555,0.31199997663497925,False,0.37660813331604004,0.20004823803901672
Morgan r3-counts,add_methyl,A,add_methyl_799,0.052746355533599854,0.2109375,False,0.3921554386615753,0.13450369238853455
Morgan r3-counts,add_methyl,A,add_methyl_800,0.04913604259490967,0.2115384340286255,False,0.38689738512039185,0.12700019776821136
Morgan r3-counts,add_methyl,A,add_methyl_801,0.04618161916732788,0.23943662643432617,False,0.4066407382488251,0.11356859654188156
Morgan r3-counts,add_methyl,A,add_methyl_802,0.09209239482879639,0.3365384340286255,False,0.4607137441635132,0.19989070296287537
Morgan r3-counts,add_methyl,A,add_methyl_803,0.2590762972831726,0.6170212626457214,False,0.5272027850151062,0.4914167821407318
Morgan r3-counts,add_methyl,A,add_methyl_804,0.056198954582214355,0.29230767488479614,False,0.3801170587539673,0.14784644544124603
Morgan r3-counts,add_methyl,A,add_methyl_805,0.07569801807403564,0.2900763154029846,False,0.40737026929855347,0.18582116067409515
Morgan r3-counts,add_methyl,A,add_methyl_806,0.06697285175323486,0.2651515007019043,False,0.4209445118904114,0.15910138189792633
Morgan r3-counts,add_methyl,A,add_methyl_807,0.027154386043548584,0.2292993664741516,False,0.38874250650405884,0.06985186040401459
Morgan r3-counts,add_methyl,A,add_methyl_808,0.3211557865142822,0.5901639461517334,False,0.5314568877220154,0.6042932271957397
Morgan r3-counts,add_methyl,A,add_methyl_809,0.06934529542922974,0.27586209774017334,False,0.41066867113113403,0.16885946691036224
Morgan r3-counts,add_methyl,A,add_methyl_810,0.04209822416305542,0.19999998807907104,False,0.4637947380542755,0.09076908230781555
Morgan r3-counts,add_methyl,A,add_methyl_811,0.04668724536895752,0.21854305267333984,False,0.42344987392425537,0.11025448143482208
Morgan r3-counts,add_methyl,A,add_methyl_812,0.04138791561126709,0.25503355264663696,False,0.37296366691589355,0.11097037047147751
Morgan r3-counts,add_methyl,A,add_methyl_813,0.17728430032730103,0.36000001430511475,False,0.4734838604927063,0.3744252324104309
Morgan r3-counts,add_methyl,A,add_methyl_814,0.044019103050231934,0.24242424964904785,False,0.3953511714935303,0.11134178191423416
Morgan r3-counts,add_methyl,A,add_methyl_815,0.26146501302719116,0.5789473652839661,False,0.49997463822364807,0.5229565501213074
Morgan r3-counts,add_methyl,A,add_methyl_816,0.07689577341079712,0.2602739930152893,False,0.42770683765411377,0.17978617548942566
Morgan r3-counts,add_methyl,A,add_methyl_817,0.04387807846069336,0.27819550037384033,False,0.3701493740081787,0.11854154616594315
