input,klass,mode,embedding,short,relative_response,q1,q3,ci_lo,ci_hi,n,reference_matched_mw
canonical,A,c_to_n,Morgan r3-counts,r3fp,0.9012,0.8222,0.9977,0.8802,0.9177,1000,0.7986
canonical,A,ez_flip,Morgan r3-counts,r3fp,0.9625,0.8923,1.0292,0.9425,0.9755,1000,0.7986
canonical,A,isotope_13c,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
canonical,B,kekule,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
canonical,A,matched_descriptors,Morgan r3-counts,r3fp,1.4735,1.2716,1.6375,1.4344,1.4962,1000,0.7986
canonical,A,matched_mw,Morgan r3-counts,r3fp,1.0,0.851,1.1404,0.9765,1.0231,1000,0.7986
canonical,A,regioisomer,Morgan r3-counts,r3fp,0.8874,0.821,0.9605,0.8662,0.9002,1000,0.7986
canonical,A,ring_size,Morgan r3-counts,r3fp,0.3813,0.2999,0.386,0.3736,0.3862,1000,0.7986
canonical,B,smiles_enumeration,Morgan r3-counts,r3fp,0.0,0.0,0.0,0.0,0.0,1000,0.7986
canonical,A,stereo_flip,Morgan r3-counts,r3fp,0.8229,0.6454,0.9165,0.8019,0.8369,1000,0.7986
