scheme,family,task,metric,arm,point,is_leader,leader,ci_lo,ci_hi,vl_delta,vl_ci_lo,vl_ci_hi,vl_boot_p,bf_boot_p,bf_ci_lo,be_boot_p,be_ci_lo,vl_boot_q,bf_boot_q,be_boot_q,cobest,beats_frozen,beats_e2e
cv,climb,ESOL,rmse,unsup_only,1.0258397181828818,False,sup_only:mixed,,,-0.08893044544919837,-0.18077226528920756,0.056112147813735885,0.214,,,,,0.2703157894736842,,,True,False,False
cv,climb,ESOL,rmse,sup_only:dense,0.89144735733668,False,sup_only:mixed,,,0.02106838965104707,-0.0862914548553384,0.20010847224643477,0.776,,,,,0.8201739130434782,,,True,False,False
cv,climb,ESOL,rmse,unsup2sup:dense,0.9512623151143392,False,sup_only:mixed,,,0.00012296197880157234,-0.09012046584490498,0.14078443297559606,0.944,,,,,0.9572957746478872,,,True,False,False
cv,climb,ESOL,rmse,sup_only:sparse_all,1.354983417193095,False,sup_only:mixed,,,-0.47620477507202574,-0.5912745542818555,-0.3896662148248787,0.0,,,,,0.0,,,False,False,False
cv,climb,ESOL,rmse,unsup2sup:sparse_all,1.2405561685562134,False,sup_only:mixed,,,-0.2564491724035607,-0.33915298666685845,-0.17612345889298409,0.0,,,,,0.0,,,False,False,False
cv,climb,ESOL,rmse,sup_only:dense_plus_sparse,0.9074614604314167,False,sup_only:mixed,,,-0.0038265104139190154,-0.07728733903885282,0.12017481005359754,0.912,,,,,0.9380571428571429,,,True,False,False
cv,climb,ESOL,rmse,unsup2sup:dense_plus_sparse,1.2958032528559367,False,sup_only:mixed,,,-0.29540217920131484,-0.45302547609808674,-0.12106073388113973,0.004,,,,,0.006000000000000001,,,False,False,False
cv,climb,ESOL,rmse,sup_only:minimol_full,1.3237438281377156,False,sup_only:mixed,,,-0.3876882448771146,-0.5246887250287009,-0.29292375522182434,0.0,,,,,0.0,,,False,False,False
cv,climb,ESOL,rmse,unsup2sup:minimol_full,1.2164508422215778,False,sup_only:mixed,,,-0.297273345303644,-0.4415059577506681,-0.1945970463780267,0.0,,,,,0.0,,,False,False,False
cv,climb,ESOL,rmse,sup_only:mixed,0.8824872851371764,True,sup_only:mixed,,,,,,,,,,,,,,True,False,False
cv,climb,ESOL,rmse,unsup2sup:mixed,0.9294467608133953,False,sup_only:mixed,,,-0.035044526663956854,-0.1355565134132385,0.09664891018581197,0.524,,,,,0.5804307692307693,,,True,False,False
cv,climb,QM7,rmse,no_pretrain,205.60588582356772,False,sup_only:dense,,,-10.730472443287738,-23.541826336505714,-3.3645239197118797,0.0,,,,,0.0,,,False,False,False
