task,model,metric,mean,std,n_seeds,source,leak_flag
tdcommons/bbb-martins,skip_mixed_8M,roc_auc,0.8962372316030852,0.0006936018164585393,3,ours,True
tdcommons/bioavailability-ma,skip_mixed_8M,roc_auc,0.7615563684735617,0.004910150668517906,3,ours,False
tdcommons/caco2-wang,skip_mixed_8M,mean_absolute_error,0.38282143768807936,0.01866802970503622,3,ours,False
tdcommons/clearance-hepatocyte-az,skip_mixed_8M,spearmanr,0.45759768345998336,0.014746616063721591,3,ours,False
tdcommons/clearance-microsome-az,skip_mixed_8M,spearmanr,0.4756363434639296,0.007864653521677345,3,ours,False
tdcommons/cyp2c9-substrate-carbonmangels,skip_mixed_8M,pr_auc,0.4143188341102244,0.02279120984080186,3,ours,False
tdcommons/cyp2d6-substrate-carbonmangels,skip_mixed_8M,pr_auc,0.6457736605321589,0.006852790580539703,3,ours,False
tdcommons/cyp3a4-substrate-carbonmangels,skip_mixed_8M,roc_auc,0.7023056057866184,0.0037688363473176193,3,ours,False
tdcommons/dili,skip_mixed_8M,roc_auc,0.908840579710145,0.0029559533412132043,3,ours,False
tdcommons/half-life-obach,skip_mixed_8M,spearmanr,0.2700315184226695,0.049240541674639454,3,ours,False
tdcommons/herg,skip_mixed_8M,roc_auc,0.7702012763868434,0.027715267828577844,3,ours,False
tdcommons/ld50-zhu,skip_mixed_8M,mean_absolute_error,0.636038941251702,0.004331402674267967,3,ours,True
tdcommons/lipophilicity-astrazeneca,skip_mixed_8M,mean_absolute_error,0.6153280901472115,0.004494482559802482,3,ours,False
tdcommons/pgp-broccatelli,skip_mixed_8M,roc_auc,0.900870878876744,0.0038078760482998797,3,ours,True
tdcommons/ppbr-az,skip_mixed_8M,mean_absolute_error,9.587082748129182,0.003844570817870309,3,ours,False
tdcommons/vdss-lombardo,skip_mixed_8M,spearmanr,0.10513906622962166,0.016773926806132974,3,ours,True
polaris/adme-fang-hclint-1,skip_sparse_all_8M,pearsonr,0.5424240572658638,0.0012760837119481633,3,ours,False
polaris/adme-fang-hppb-1,skip_sparse_all_8M,pearsonr,0.6181092681853168,0.01947312794440603,3,ours,False
polaris/adme-fang-perm-1,skip_sparse_all_8M,pearsonr,0.6317502753434773,0.00649926849116361,3,ours,False
polaris/adme-fang-rclint-1,skip_sparse_all_8M,pearsonr,0.5157103173703275,0.014859218500346893,3,ours,False
polaris/adme-fang-rppb-1,skip_sparse_all_8M,pearsonr,0.6139380055967646,0.03165571777181158,3,ours,False
polaris/adme-fang-solu-1,skip_sparse_all_8M,pearsonr,0.49784100975387735,0.011000580270059663,3,ours,False
